Rgr,Nogr,ARY,IRY,CGRY,SMRY,MRY,CRY,TRY,SRY,TTRY,ICRY,URY,AFRY,FRY,RRY,PRY,ASRY,PARY,ERY,HRY,AERY,ORY,EXR,SDR,MPR,CPD,CG,CPS,CCPS,COS,SD,TD,RR,ER,NFA,NDC,EXP,IMP
5.170439479,8.460508825,4456105.79,3396568.90,1894182.98,20469.17,1481916.75,520965.66,2618691.70,5462040.40,191703.98,1545840.23,95187.60,143858.05,429154.41,1258413.46,590171.67,3481.18,436428.95,334794.64,102439.69,26073.82,304492.71,44108.48,2.43,12.00,2.22,429305.81,14974616.37,8922379.29,6052237.08,2206986.40,14981922.52,2372253.80,513134.03,8549975.67,15403922.18,1243363.29,817988.62
6.769704084,8.775081988,4178391.91,3114856.50,1608669.00,23962.42,1482225.07,590913.19,2803483.29,6444519.89,207124.41,1904170.82,104014.89,168395.59,445178.96,1433829.70,647171.67,3506.30,511162.12,400667.59,106503.21,27542.40,485252.22,42847.31,2.53,12.00,2.11,1860777.38,15279756.61,9343053.34,5936703.26,2378165.53,15859757.45,2275851.65,1133672.40,8262175.88,17140533.98,1217241.80,706759.22
6.214189149,8.206565377,3033970.43,3498208.50,1826669.19,22964.51,1648574.80,627286.61,2678514.71,5600699.25,160209.70,1681208.55,97974.02,156260.98,517768.24,1052424.81,538008.85,3143.87,445394.81,307200.39,109003.56,32845.83,499255.62,37399.22,3.38,12.00,2.14,2669909.61,16034173.34,9958625.66,6075547.69,2428879.73,16340824.50,2621191.43,381599.32,6359694.37,18704082.95,1174558.48,828151.61
6.543513468,6.714783731,3360450.48,3388257.26,1731376.95,22154.73,1634725.59,695565.83,2697757.92,5942590.82,190842.65,1898288.88,91177.78,125856.14,517580.80,1251295.43,553519.56,3539.64,470243.20,274896.23,119839.61,34477.55,411033.35,37330.03,3.42,12.00,2.17,931560.33,16376205.66,10308480.75,6067724.91,2436071.81,16294441.81,2856207.73,343010.60,7446595.87,17307765.99,1133120.83,867472.19
6.227858973,7.505764631,4655322.16,3567951.88,1826084.54,22882.04,1718985.30,579913.75,2796899.00,5879040.78,199759.88,1674174.08,82902.73,169952.78,465888.23,1332694.08,631097.03,3664.11,441966.97,364179.40,119124.53,30021.29,363615.66,38278.62,3.43,12.00,2.09,1595158.68,17094358.33,10982161.85,6112196.48,2510457.68,17288016.17,2692915.98,622932.79,7371064.95,18689517.01,1065561.07,876796.74
5.943158379,6.436543802,4330646.27,3336829.72,1627684.09,27213.58,1681932.05,665698.56,2952623.98,6864557.92,219878.67,2003390.52,110386.78,187644.82,481432.47,1519313.63,667812.67,3634.86,517338.18,445677.35,124665.96,31838.00,551544.00,34241.54,3.46,13.00,2.23,574649.33,18223784.77,11985519.70,6238265.08,2674037.40,17286267.80,3491742.86,551060.45,6744385.35,18798434.10,822126.69,799928.92
3.963563572,5.588714301,3176598.14,3340475.57,1677854.70,25553.80,1637067.07,697366.62,2851774.41,5984386.64,166402.04,1840802.04,78894.39,197924.16,564395.05,1084792.83,575222.37,3314.17,389597.47,328505.92,111298.27,38819.76,604418.18,29357.21,3.76,13.00,2.14,1468840.10,18605340.14,12663276.30,5942063.84,2938378.09,17126021.68,3786659.23,208199.46,6225849.66,20074180.23,736699.63,1227451.02
2.354544563,3.458076795,3477845.23,3209814.93,1613750.30,23726.41,1572338.22,740204.22,2834611.45,6200866.08,200076.32,2017153.68,86681.89,114567.09,550734.35,1288487.69,586851.81,3646.64,420192.52,294867.70,122704.93,36648.33,478253.13,28335.21,3.60,13.00,2.07,2370722.71,18894115.35,12904619.63,5989495.71,2879645.20,17072561.35,3971886.88,308606.15,5400500.93,21264838.06,788412.22,923898.39
2.844003611,3.052428561,4816519.15,3558756.91,1845393.61,24489.74,1688873.56,579297.92,2920098.66,6101561.96,209454.24,1762350.06,87336.78,160745.42,496473.91,1360104.16,665076.10,3767.89,385492.87,393442.80,122098.45,31940.77,423278.51,29880.21,3.72,13.00,2.22,2862143.44,18592228.86,12619137.58,5973091.28,2903952.56,17284104.95,3879107.66,217396.73,4547549.70,21454372.30,682132.76,788120.82
2.112331033,3.135779389,4481257.62,3210078.78,1492965.14,28773.86,1688339.78,663347.24,3091103.14,7087965.28,229523.14,2087808.06,114401.69,180978.65,512293.52,1531311.21,688923.69,3745.27,449499.92,481890.66,128234.85,33920.39,645434.23,28284.82,3.33,11.00,2.08,2519241.72,18811524.45,12447995.74,6363528.71,3048876.68,18141084.31,2426491.02,1129364.10,5324533.30,21330766.17,610288.25,792508.71
-0.665936659,-0.182245177,3274725.01,3126387.54,1597161.50,6738.00,1522488.04,659950.18,2909263.86,5973387.93,190912.72,1915707.67,55205.04,183250.31,500721.38,1033869.15,569883.03,3285.16,372471.20,341069.10,111906.83,42082.96,653023.38,27336.38,3.26,12.00,1.96,3520358.62,18962406.02,12430809.77,6531596.25,3325177.15,18634813.71,2966194.10,589554.25,4983490.92,22482764.64,533607.16,612485.18
-1.486936853,-0.384749549,3635533.13,2969885.29,1426084.54,24352.72,1519448.03,693744.65,2833632.17,6085747.17,189398.68,2044476.85,82806.37,107242.41,491158.49,1220527.28,593105.10,3498.66,394453.72,303373.68,119462.76,37307.67,498935.49,26505.50,3.61,12.00,1.77,3002451.89,21415047.52,14802087.93,6612959.58,3388649.84,20014976.11,2898498.99,401460.59,6134287.09,24417499.40,658268.88,978795.86
-2.34082895,0.026859783,5035069.06,3061249.14,1420267.99,26086.50,1614894.65,543808.12,2879664.75,6035650.62,210972.66,1781886.93,85432.68,152906.74,509600.33,1259867.76,674359.27,3768.26,371731.33,393011.56,119281.89,32575.31,440255.90,23806.51,4.05,14.00,1.65,3859414.84,22677974.11,15053203.72,7624770.39,3456212.74,20501239.34,2805313.22,258322.51,6874516.70,26537388.95,787785.25,862238.33
-1.727738535,-0.328286542,4662010.12,2904527.23,1228692.98,30432.52,1645401.73,623349.23,3046500.61,6977150.10,217313.23,2116626.83,111801.06,176019.77,526032.10,1389340.45,698944.63,3822.66,430861.50,481478.75,125038.53,34614.02,665256.58,26990.58,4.18,14.00,1.58,4503565.38,22326326.24,14984256.92,7342069.32,3674543.77,21350316.76,2934183.20,389755.88,7852145.57,26829891.61,981435.93,796380.02
